ground_len,brown_glove50_perfect_mean,brown_glove50_jaccard_mean,brown_glove50_precision_mean,brown_glove50_recall_mean,brown_glove50_f1_mean,brown_glove100_perfect_mean,brown_glove100_jaccard_mean,brown_glove100_precision_mean,brown_glove100_recall_mean,brown_glove100_f1_mean,brown_glove200_perfect_mean,brown_glove200_jaccard_mean,brown_glove200_precision_mean,brown_glove200_recall_mean,brown_glove200_f1_mean,brown_glove300_perfect_mean,brown_glove300_jaccard_mean,brown_glove300_precision_mean,brown_glove300_recall_mean,brown_glove300_f1_mean,books_0_01_glove300_perfect_mean,books_0_01_glove300_jaccard_mean,books_0_01_glove300_precision_mean,books_0_01_glove300_recall_mean,books_0_01_glove300_f1_mean
43,0,0.110470014,0.192477274,0.201468788,0.196742187,0,0.165004054,0.24278815,0.331823745,0.28012338,0,0.232651766,0.327971692,0.434271726,0.373433573,0.021052632,0.339408744,0.444128983,0.558261934,0.493625948,0,0.288652227,0.385542983,0.520305449,0.442290212
44,0,0.107170416,0.187082112,0.196657754,0.191621135,0,0.162695854,0.241146856,0.326737968,0.277201929,0,0.234554085,0.330523799,0.437165775,0.376149718,0.005882353,0.314960513,0.421765841,0.536631016,0.47153631,0,0.290545726,0.389757974,0.518759019,0.444480708
45,0,0.112449103,0.195902089,0.204532164,0.199995039,0,0.167800953,0.248169928,0.33494152,0.284809576,0,0.231765459,0.328349022,0.433187135,0.373218147,0.006578947,0.313690038,0.419617896,0.533187135,0.46884733,0,0.290596526,0.391728165,0.514814815,0.444292563
46,0,0.109699787,0.191216736,0.199747952,0.195255692,0,0.163747998,0.242251645,0.328607435,0.278632488,0,0.237038993,0.334309743,0.439981096,0.37962526,0.007246377,0.323666063,0.43030796,0.546628859,0.48072441,0,0.28189499,0.379847318,0.50621118,0.433544966
47,0,0.108029477,0.189777556,0.197163121,0.193249645,0,0.158850008,0.236891198,0.320744681,0.272227484,0,0.224372369,0.319220144,0.422340426,0.363357669,0,0.301734058,0.405991095,0.522163121,0.456095515,0,0.268453991,0.365334359,0.496960486,0.420788446
48,0,0.118596569,0.205612622,0.213927469,0.209576598,0,0.164702023,0.244510316,0.330439815,0.280760672,0,0.231260879,0.326960327,0.431712963,0.37183492,0,0.296458184,0.401164228,0.519675926,0.452285949,0,0.280449038,0.381715651,0.506944444,0.435014787
49,0,0.108977201,0.191417479,0.197923997,0.194486351,0,0.167655983,0.248257234,0.335327234,0.285024195,0,0.228135009,0.324605628,0.428747361,0.369180906,0,0.296894123,0.402104896,0.520056298,0.452970006,0,0.266533892,0.366569335,0.489010989,0.41834978
50,0,0.113183346,0.196713038,0.204938272,0.200635876,0,0.170081767,0.251808199,0.337777778,0.288268365,0,0.225101105,0.318407025,0.425925926,0.364168204,0,0.309742396,0.415931314,0.535555556,0.467516582,0,0.273517134,0.370526685,0.500952381,0.425535977
51,0,0.108001817,0.190948866,0.195842192,0.193247423,0,0.164845448,0.245133538,0.327663596,0.280203845,0,0.222072635,0.317476643,0.4183794,0.360692452,0,0.28660144,0.388543537,0.508150248,0.439978755,0,0.263339005,0.359093993,0.484162896,0.412082265
52,0,0.10390242,0.183800582,0.18956044,0.186543638,0,0.156011767,0.233423731,0.314685315,0.267842362,0,0.218584067,0.313331135,0.411088911,0.355409675,0,0.278537945,0.380178416,0.500999001,0.431920461,0,0.28939776,0.392654156,0.514423077,0.445099781
