"max_ground_len","brown_glove50_perfect","brown_glove50_jaccard","brown_glove50_precision","brown_glove50_recall","brown_glove50_f1","brown_glove100_perfect","brown_glove100_jaccard","brown_glove100_precision","brown_glove100_recall","brown_glove100_f1","brown_glove200_perfect","brown_glove200_jaccard","brown_glove200_precision","brown_glove200_recall","brown_glove200_f1","brown_glove300_perfect","brown_glove300_jaccard","brown_glove300_precision","brown_glove300_recall","brown_glove300_f1"
23,0.08878300842197094,0.20250988011782425,0.26555704477349734,0.3040191747267251,0.2965048646999232,0.27292554440828104,0.45801623142191616,0.519745853450873,0.6062377071069963,0.555456332799051,0.6270174143542596,0.7864414114828454,0.8260846476006078,0.8625505613568902,0.8421409433047193,0.9082978223668758,0.9618082264712449,0.9718850756310509,0.9767569706779174,0.9741008283303115
24,0.08594257502923217,0.19947705635967292,0.26280278779878274,0.300836098405675,0.2929893779784805,0.2641938417565285,0.44913668367510373,0.5113078582645988,0.5985974747166584,0.5473143789191426,0.6084513446797454,0.7730564922854384,0.8146026991180393,0.8533333673331407,0.8316288590133376,0.8972002078731973,0.9560190182267267,0.9673296779314333,0.9731915463962357,0.9699918556140239
25,0.08334383268237369,0.19663389701080772,0.2601873414263636,0.2977920435212902,0.2896762538457802,0.25620511528285245,0.4408899168275937,0.5034391279555008,0.5913965935358599,0.5396894882016646,0.5907773718029482,0.7597809484930962,0.8031023711585258,0.8440036447477869,0.8210511696027755,0.884433665112763,0.9490714988008484,0.9618103765475325,0.9687961865455244,0.9649811453332965
26,0.08111339321296097,0.19424341102208487,0.258047393060959,0.2952390823520502,0.2869507557107483,0.2493485791361393,0.43374801935737284,0.49662450772552663,0.5850739558295251,0.5330569046102432,0.5755494926581036,0.7481023022373251,0.7929331003561902,0.8357642676494037,0.8116978925099109,0.8722295453848747,0.9423558930211225,0.956480223555749,0.9645849589476694,0.9601543914984397
27,0.07924290976610464,0.19218148569329357,0.2561674631238627,0.29300625567320554,0.2845487335743591,0.24359857446617353,0.42777512315797667,0.49093784006629904,0.5798134037604982,0.5275290423101929,0.5624868976670361,0.7378704805835611,0.7839803172173495,0.8285028974593535,0.8034577205345036,0.860351591746279,0.9355030135229814,0.9509796890512856,0.9602305794724703,0.9551653917464588
28,0.07748169838945827,0.19022093276637667,0.25438332954004206,0.2908644768135873,0.282264915612943,0.23818448023426061,0.4220024580792175,0.4853952325237428,0.5746124055836334,0.5221120289747809,0.5501610541727672,0.7279259912961739,0.7752331759685859,0.8212843829469019,0.7953544924704583,0.8473499267935578,0.9279098988317189,0.9448560855617263,0.9553729970891311,0.949605571427732
29,0.07593193101271271,0.18853854167282025,0.25289543082254407,0.28903159388611716,0.2803319992929095,0.2334203805205613,0.41696479035791467,0.4805878942648667,0.5700746968469569,0.5174073718123956,0.539185582690045,0.7190712803024446,0.7674138394586945,0.8149051455985072,0.7881375069324644,0.8354234223893018,0.9209449990854376,0.9392307672411111,0.9509547130334485,0.9445165093499852
30,0.07452261589590492,0.18702704852684773,0.2515798438752496,0.2873932279656825,0.2786125574031096,0.22908804145778178,0.41244066699776705,0.4763050036173782,0.5660224458127051,0.5132148639209901,0.5292063313242832,0.7108936541252915,0.760190214474828,0.8089534053025175,0.7814478816035282,0.8236354418971441,0.9138126911820426,0.9334646676804236,0.9464405701874778,0.9393074462665425
31,0.07329233837460529,0.18570184665400796,0.2504233166763606,0.2859431454218739,0.27709413629301605,0.22530607722563847,0.4084003824530326,0.47245172940626007,0.5623403777038561,0.5094269389772278,0.5204974793640241,0.703607779635229,0.7537110900900498,0.8035884776902777,0.7754344928279066,0.8127527560799955,0.907027565054704,0.9279028283567199,0.9420869234636042,0.9342790641128619
32,0.0721511738881466,0.18443702134375112,0.2492977489307626,0.2845364964966186,0.2756206201167821,0.22179805306356176,0.4046405888401923,0.46885982420308014,0.5589019800906556,0.5058944080641781,0.5123933138821476,0.6967684374885085,0.7476128784007002,0.7985130742392061,0.7697631396570517,0.80195239004172,0.9002718257648008,0.9223639037577207,0.9377582856838285,0.9292733387517222
